service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Secret Manager  (Secret Manager),Secret access operations,5000.0,global,EE82-7A5E-871C,EBA7-264F-2D2C,0,
Secret Manager  (Secret Manager),Secret version replica storage,20.0,global,EE82-7A5E-871C,7756-ADEF-84F4,0.84,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - vCPU in Americas,800.0,us-central1,9662-B51E-5089,741F-D668-2417,33.04,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - RAM in Americas,3000.0,us-central1,9662-B51E-5089,49E9-5D00-B807,21,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Americas,4000.0,us-central1,9662-B51E-5089,F0A1-2B08-FA36,0.93151,
Standard Environment (App Engine),Frontend Instances,1.0,us-central1,F17B-412E-CB64,E2EB-F679-D108,0,
Standard Environment (App Engine),Out Bandwidth,20.0,us-central1,F17B-412E-CB64,37F0-8E44-4CAA,0,
Cloud Build,E2 cpu utilization per minute in the global region (Default Pool),100.0,global,8B5D-EF7D-EB12,CBF1-961B-A33C,0.16,
Cloud Build,E2 ram utilization per minute in the global region (Default Pool),400.0,global,8B5D-EF7D-EB12,63EE-19A6-EA84,0.14,
Cloud Build,SSD Utilization per GiBy month in global region (Default Pool),4.0,global,8B5D-EF7D-EB12,3EE9-1ED7-A340,0.68,
,,,,,,,
,,,,,Total Price:,56.79151,
,,,,,,,
"Prices are in US dollars, effective date is 2025-12-11T18:23:53.461Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJoTWpOaU1qWmpZaTFtTkRObUxUUmxPV1F0WVRFelpDMW1NbVV5TURnd1l6RmtPV0lRQVE9PRokMjdFQUQ0QjEtREIzNy00MkNDLUE2MEUtRjZFOEVBODU4RDc2,,,,,,
